"candidate_id","announcement_at","evidence_lines","relaunch_lines","canonical_name","orientation","capacity_mode","capacity","credited_hours","start_date_or_text","db_launch_ids","reconciliation_status","field_issues","recommended_action"
"WA24-001","2024-02-15 11:51:50","535-543","","Centro de Salud Progreso","No informada","fijo","2","120","marzo 2024","","missing_launch","No existe lanzamiento ni práctica 2024 con este nombre y tampoco hay institución maestra exacta.","Crear institución/candidato solo tras validar el nombre legal; crear lanzamiento histórico y marcar resultado desconocido."
"WA24-002","2024-03-02 13:08:09","545-550","571","Centro de Salud Parque Industrial — primer período","Clínica","fijo","9","85","marzo-noviembre 2024","","missing_launch_with_practices","Hay 8 prácticas desde 2024-03-12, pero el único lanzamiento del nombre comienza en agosto.","Crear lanzamiento histórico de primer período y vincular las 8 prácticas de marzo tras validar el alcance temporal."
"WA24-003","2024-03-02 15:15:22","551-561","","Fundación Tiempo de Niños — Grupos de Madres","Clínica","fijo","6","70","marzo-julio 2024","52529872-d4b0-473c-93d4-c81f77060d40|fd2ccf25-6194-42e1-b9d5-7a510d847920","split_or_duplicate","El mensaje copiado dice 2023; la fecha de publicación y las prácticas son 2024. Los dos lanzamientos actuales no preservan claramente los dos subprogramas.","Consolidar como oferta clínica separada y conservar el error de año como nota de fuente."
"WA24-004","2024-03-02 15:15:22","562-569","","Fundación Tiempo de Niños — Grupo de Personal","Laboral","fijo","3","20","marzo-junio 2024","52529872-d4b0-473c-93d4-c81f77060d40|fd2ccf25-6194-42e1-b9d5-7a510d847920","split_or_duplicate","El mensaje copiado dice 2023 y el subprograma laboral no está representado limpiamente en lanzamientos.","Crear oferta laboral separada o modelarla como slot con orientación y horas propias."
"WA24-005","2024-03-14 13:26:43","572-576","687-692|593","Asociación PENSAR — Barriletes en Bandada","Comunitaria","fijo","12","variable","marzo-noviembre 2024","99781c98-b5d1-4c2a-8e0f-3692538a159e|8d5ebe0b-b0df-42a4-85af-1bcc4eaf4674|46cb6f0c-2809-456b-9da4-4d60c750cabb","one_offer_many_rows","El relanzamiento de abril baja las vacantes a 6. La base contiene varias filas/cohortes y una orientación clínica incompatible en agosto.","Crear una oferta canónica con slots mañana/tarde; registrar abril como relanzamiento, no como lanzamiento nuevo."
"WA24-006","2024-03-14 15:05:14","577-582","","Fundación Lanna — Centro DAT","Comunitaria","fijo","4","120","2024-03-21","dd8e7460-34dd-4f4e-b164-58a6e6c18bf5","strong_match","La base inicia 2024-03-20, un día antes que el anuncio, y guarda 2 cupos.","Vincular fuente y corregir capacidad ofrecida; revisar fecha efectiva con planillas."
"WA24-007","2024-03-14 15:17:19","583-589","","Investigación — Relaciones de Pareja y Sexualidad en Adultos Mayores","Clínica","fijo","4","30","2024-04-06","","missing_launch_with_practices","Existe práctica UFLO Investigación el 2024-04-06, pero no lanzamiento.","Crear lanzamiento histórico y vincular la práctica de abril."
"WA24-008","2024-03-20 14:25:21","596-607","","Jardín Maternal Jacarandá","Laboral","fijo","3","25","2024-04-05","cb3fa3bc-881b-4409-bd8d-89c0aa3c4358","strong_match","La base comienza 2024-04-04 y guarda 2 cupos.","Vincular fuente y conservar capacidad ofrecida 3; usar prácticas para ocupación."
"WA24-009","2024-03-21 16:06:33","608-614","","Colegio Santa Teresa de Jesús — Nivel Medio","Educacional","fijo","2","48","2024-04-04","2f52b340-ecdd-4fcb-b300-b8ead4532f6e","strong_match","La base comienza 2024-04-03, registra 74 horas y 1 cupo.","Validar fecha/horas efectivas; separar capacidad ofrecida 2 de realización."
"WA24-010","2024-04-04 17:49:56","635-642","","Jóvenes en Salud Integral","Clínica","fijo","2","80","lunes posterior a publicación","d6c82f88-adb8-46b8-b865-0d83085230d6","strong_match","La base comienza 2024-04-08, registra 23 horas y 1 cupo.","Vincular fuente; mantener 80 como horas previstas y 23 como horas realizadas solo si la granularidad lo permite."
